campusId,distance,duration,legs,originPostcode,postcode,ukprn
UCL  Main Campus,0,58,5,SE26, WC1E 6BT,10007784
UCL  Main Campus,0,54,5,SE27, WC1E 6BT,10007784
UCL  Main Campus,0,90,6,SE28, WC1E 6BT,10007784
UCL  Main Campus,0,76,4,SE3, WC1E 6BT,10007784
UCL  Main Campus,0,55,5,SE4, WC1E 6BT,10007784
UCL  Main Campus,0,53,4,SE5, WC1E 6BT,10007784
UCL  Main Campus,0,76,4,SE6, WC1E 6BT,10007784
UCL  Main Campus,0,68,6,SE7, WC1E 6BT,10007784
UCL  Main Campus,0,64,7,SE8, WC1E 6BT,10007784
UCL  Main Campus,0,72,4,SE9, WC1E 6BT,10007784
UCL  Main Campus,0,27,3,SW1, WC1E 6BT,10007784
UCL  Main Campus,0,50,5,SW10, WC1E 6BT,10007784
UCL  Main Campus,0,50,4,SW11, WC1E 6BT,10007784
UCL  Main Campus,0,44,4,SW12, WC1E 6BT,10007784
UCL  Main Campus,0,60,5,SW13, WC1E 6BT,10007784
UCL  Main Campus,0,58,5,SW14, WC1E 6BT,10007784
UCL  Main Campus,0,62,5,SW15, WC1E 6BT,10007784
UCL  Main Campus,0,55,4,SW16, WC1E 6BT,10007784
UCL  Main Campus,0,47,4,SW17, WC1E 6BT,10007784
UCL  Main Campus,0,58,5,SW18, WC1E 6BT,10007784
UCL  Main Campus,0,54,5,SW19, WC1E 6BT,10007784
UCL  Main Campus,0,31,4,SW1A, WC1E 6BT,10007784
UCL  Main Campus,0,26,3,SW1E, WC1E 6BT,10007784
UCL  Main Campus,0,29,4,SW1H, WC1E 6BT,10007784
UCL  Main Campus,0,33,4,SW1P, WC1E 6BT,10007784
UCL  Main Campus,0,28,3,SW1V, WC1E 6BT,10007784
UCL  Main Campus,0,27,3,SW1W, WC1E 6BT,10007784
UCL  Main Campus,0,34,3,SW1X, WC1E 6BT,10007784
UCL  Main Campus,0,33,4,SW1Y, WC1E 6BT,10007784
UCL  Main Campus,0,41,4,SW2, WC1E 6BT,10007784
UCL  Main Campus,0,57,5,SW20, WC1E 6BT,10007784
UCL  Main Campus,0,38,4,SW3, WC1E 6BT,10007784
UCL  Main Campus,0,36,4,SW4, WC1E 6BT,10007784
UCL  Main Campus,0,41,4,SW5, WC1E 6BT,10007784
UCL  Main Campus,0,43,4,SW6, WC1E 6BT,10007784
UCL  Main Campus,0,29,4,SW7, WC1E 6BT,10007784
UCL  Main Campus,0,38,3,SW8, WC1E 6BT,10007784
UCL  Main Campus,0,40,3,SW9, WC1E 6BT,10007784
UCL  Main Campus,0,22,3,W1, WC1E 6BT,10007784
UCL  Main Campus,0,35,3,W10, WC1E 6BT,10007784
UCL  Main Campus,0,40,3,W11, WC1E 6BT,10007784
UCL  Main Campus,0,37,3,W12, WC1E 6BT,10007784
UCL  Main Campus,0,44,6,W13, WC1E 6BT,10007784
UCL  Main Campus,0,45,4,W14, WC1E 6BT,10007784
UCL  Main Campus,0,26,3,W1B, WC1E 6BT,10007784
UCL  Main Campus,0,28,3,W1C, WC1E 6BT,10007784
UCL  Main Campus,0,26,3,W1D, WC1E 6BT,10007784
UCL  Main Campus,0,30,3,W1F, WC1E 6BT,10007784
UCL  Main Campus,0,23,3,W1G, WC1E 6BT,10007784
UCL  Main Campus,0,27,3,W1H, WC1E 6BT,10007784
UCL  Main Campus,0,22,3,W1J, WC1E 6BT,10007784
UCL  Main Campus,0,32,4,W1K, WC1E 6BT,10007784
UCL  Main Campus,0,23,3,W1M, WC1E 6BT,10007784
UCL  Main Campus,0,28,3,W1S, WC1E 6BT,10007784
UCL  Main Campus,0,15,1,W1T, WC1E 6BT,10007784
UCL  Main Campus,0,24,3,W1U, WC1E 6BT,10007784
UCL  Main Campus,0,18,1,W1W, WC1E 6BT,10007784
UCL  Main Campus,0,30,4,W2, WC1E 6BT,10007784
UCL  Main Campus,0,62,5,W3, WC1E 6BT,10007784
UCL  Main Campus,0,56,4,W4, WC1E 6BT,10007784
UCL  Main Campus,0,44,5,W5, WC1E 6BT,10007784
UCL  Main Campus,0,38,3,W6, WC1E 6BT,10007784
UCL  Main Campus,0,72,5,W7, WC1E 6BT,10007784
UCL  Main Campus,0,34,4,W8, WC1E 6BT,10007784
UCL  Main Campus,0,36,4,W9, WC1E 6BT,10007784
UCL  Main Campus,0,19,1,WC1, WC1E 6BT,10007784
UCL  Main Campus,0,26,3,WC1A, WC1E 6BT,10007784
UCL  Main Campus,0,24,3,WC1B, WC1E 6BT,10007784
UCL  Main Campus,0,12,1,WC1E, WC1E 6BT,10007784
UCL  Main Campus,0,13,1,WC1H, WC1E 6BT,10007784
UCL  Main Campus,0,26,3,WC1N, WC1E 6BT,10007784
UCL  Main Campus,0,28,3,WC1R, WC1E 6BT,10007784
UCL  Main Campus,0,23,3,WC1V, WC1E 6BT,10007784
UCL  Main Campus,0,27,3,WC1X, WC1E 6BT,10007784
UCL  Main Campus,0,28,3,WC2, WC1E 6BT,10007784
UCL  Main Campus,0,29,3,WC2A, WC1E 6BT,10007784
UCL  Main Campus,0,26,3,WC2B, WC1E 6BT,10007784
UCL  Main Campus,0,28,3,WC2E, WC1E 6BT,10007784
UCL  Main Campus,0,27,3,WC2H, WC1E 6BT,10007784
UCL  Main Campus,0,28,3,WC2N, WC1E 6BT,10007784
UCL  Main Campus,0,27,3,WC2R, WC1E 6BT,10007784
UCL  Main Campus,0,22,3,W1A, WC1E 6BT,10007784
UCL  Main Campus,0,30,3,E77, WC1E 6BT,10007784
UCL  Main Campus,0,39,4,E98, WC1E 6BT,10007784
UCL  Main Campus,0,25,3,EC1P, WC1E 6BT,10007784
UCL  Main Campus,0,25,3,EC4P, WC1E 6BT,10007784
UCL  Main Campus,0,25,3,EC50, WC1E 6BT,10007784
UCL  Main Campus,0,29,3,N1P, WC1E 6BT,10007784
UCL  Main Campus,0,16,1,NW1W, WC1E 6BT,10007784
UCL  Main Campus,0,48,6,SE1P, WC1E 6BT,10007784
UCL  Main Campus,0,39,3,SW99, WC1E 6BT,10007784
UCL  Main Campus,0,54,4,E20, WC1E 6BT,10007784
