"campusId","distance","duration","legs","originPostcode","postcode","ukprn"
"UCL  Main Campus","0.0","43.0","4","E14 7"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","44.0","4","E14 8"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","43.0","4","E14 9"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","45.0","4","E15 1"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","52.0","3","E15 2"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","48.0","6","E15 3"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","49.0","4","E15 4"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","55.0","6","E15 9"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","49.0","4","E16 1"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","55.0","4","E16 2"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","58.0","4","E16 3"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","54.0","4","E16 4"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","55.0","3","E16 9"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","42.0","3","E17 0"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","50.0","3","E17 3"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","57.0","3","E17 4"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","54.0","3","E17 5"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","45.0","3","E17 6"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","44.0","3","E17 7"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","48.0","4","E17 8"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","44.0","3","E17 9"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","51.0","4","E18 1"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","56.0","4","E18 2"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","52.0","4","E18 9"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","37.0","4","E20 1"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","45.0","4","E20 2"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","55.0","4","E20 3"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","31.0","3","E77 1"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","41.0","3","E98 1"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","26.0","3","EC1A 1"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","21.0","3","EC1A 2"," WC1E 6BT","10007784"
