"campusId","distance","duration","legs","originPostcode","postcode","ukprn"
"UCL  Main Campus","3.0","7.1582757E7","0","NW8"," WC1E 6BT","10007784"
"UCL  Main Campus","16.0","48.0","0","NW9"," WC1E 6BT","10007784"
"UCL  Main Campus","7.0","27.0","0","SE1"," WC1E 6BT","10007784"
"UCL  Main Campus","15.0","62.0","0","SE10"," WC1E 6BT","10007784"
"UCL  Main Campus","5.0","19.0","0","SE11"," WC1E 6BT","10007784"
"UCL  Main Campus","17.0","69.0","0","SE12"," WC1E 6BT","10007784"
"UCL  Main Campus","13.0","64.0","0","SE13"," WC1E 6BT","10007784"
"UCL  Main Campus","11.0","43.0","0","SE14"," WC1E 6BT","10007784"
"UCL  Main Campus","12.0","51.0","0","SE15"," WC1E 6BT","10007784"
"UCL  Main Campus","10.0","29.0","0","SE16"," WC1E 6BT","10007784"
"UCL  Main Campus","6.0","30.0","0","SE17"," WC1E 6BT","10007784"
"UCL  Main Campus","21.0","78.0","0","SE18"," WC1E 6BT","10007784"
"UCL  Main Campus","14.0","59.0","0","SE19"," WC1E 6BT","10007784"
"UCL  Main Campus","24.0","83.0","0","SE2"," WC1E 6BT","10007784"
"UCL  Main Campus","16.0","55.0","0","SE20"," WC1E 6BT","10007784"
"UCL  Main Campus","12.0","43.0","0","SE21"," WC1E 6BT","10007784"
"UCL  Main Campus","12.0","64.0","0","SE22"," WC1E 6BT","10007784"
"UCL  Main Campus","16.0","47.0","0","SE23"," WC1E 6BT","10007784"
"UCL  Main Campus","11.0","37.0","0","SE24"," WC1E 6BT","10007784"
"UCL  Main Campus","20.0","49.0","0","SE25"," WC1E 6BT","10007784"
"UCL  Main Campus","17.0","45.0","0","SE26"," WC1E 6BT","10007784"
"UCL  Main Campus","13.0","54.0","0","SE27"," WC1E 6BT","10007784"
"UCL  Main Campus","24.0","86.0","0","SE28"," WC1E 6BT","10007784"
"UCL  Main Campus","15.0","55.0","0","SE3"," WC1E 6BT","10007784"
"UCL  Main Campus","13.0","44.0","0","SE4"," WC1E 6BT","10007784"
"UCL  Main Campus","9.0","45.0","0","SE5"," WC1E 6BT","10007784"
"UCL  Main Campus","16.0","60.0","0","SE6"," WC1E 6BT","10007784"
"UCL  Main Campus","17.0","70.0","0","SE7"," WC1E 6BT","10007784"
"UCL  Main Campus","13.0","57.0","0","SE8"," WC1E 6BT","10007784"
"UCL  Main Campus","18.0","61.0","0","SE9"," WC1E 6BT","10007784"
"UCL  Main Campus","4.0","19.0","0","SW1"," WC1E 6BT","10007784"
"UCL  Main Campus","6.0","44.0","0","SW10"," WC1E 6BT","10007784"
"UCL  Main Campus","9.0","33.0","0","SW11"," WC1E 6BT","10007784"
"UCL  Main Campus","12.0","37.0","0","SW12"," WC1E 6BT","10007784"
"UCL  Main Campus","12.0","7.1582787E7","0","SW13"," WC1E 6BT","10007784"
"UCL  Main Campus","17.0","47.0","0","SW14"," WC1E 6BT","10007784"
"UCL  Main Campus","14.0","48.0","0","SW15"," WC1E 6BT","10007784"
"UCL  Main Campus","14.0","47.0","0","SW16"," WC1E 6BT","10007784"
"UCL  Main Campus","14.0","40.0","0","SW17"," WC1E 6BT","10007784"
"UCL  Main Campus","13.0","41.0","0","SW18"," WC1E 6BT","10007784"
"UCL  Main Campus","15.0","43.0","0","SW19"," WC1E 6BT","10007784"
"UCL  Main Campus","3.0","29.0","0","SW1A"," WC1E 6BT","10007784"
"UCL  Main Campus","4.0","19.0","0","SW1E"," WC1E 6BT","10007784"
"UCL  Main Campus","4.0","24.0","0","SW1H"," WC1E 6BT","10007784"
"UCL  Main Campus","5.0","25.0","0","SW1P"," WC1E 6BT","10007784"
"UCL  Main Campus","5.0","20.0","0","SW1V"," WC1E 6BT","10007784"
"UCL  Main Campus","4.0","21.0","0","SW1W"," WC1E 6BT","10007784"
"UCL  Main Campus","4.0","24.0","0","SW1X"," WC1E 6BT","10007784"
"UCL  Main Campus","2.0","24.0","0","SW1Y"," WC1E 6BT","10007784"
"UCL  Main Campus","10.0","35.0","0","SW2"," WC1E 6BT","10007784"
"UCL  Main Campus","18.0","46.0","0","SW20"," WC1E 6BT","10007784"
"UCL  Main Campus","5.0","41.0","0","SW3"," WC1E 6BT","10007784"
"UCL  Main Campus","9.0","29.0","0","SW4"," WC1E 6BT","10007784"
"UCL  Main Campus","7.0","37.0","0","SW5"," WC1E 6BT","10007784"
