id,postcode,latitude,longitude
175,EC3A 7,51.5157,-0.0808297
176,EC3A 8,51.5151,-0.0829237
177,EC3B 0,51.514,-0.081823
178,EC3M 1,51.5108,-0.085082
179,EC3M 2,51.5133,-0.083056
180,EC3M 3,51.5116,-0.0836216
181,EC3M 4,51.5128,-0.0801762
182,EC3M 5,51.5129,-0.082897
183,EC3M 6,51.512,-0.0847408
184,EC3M 7,51.5134,-0.0854003
185,EC3M 8,51.5109,-0.084021
186,EC3N 1,51.5133,-0.0781392
187,EC3N 2,51.5128,-0.0804708
188,EC3N 3,51.512,-0.0795135
189,EC3N 4,51.5118,-0.0818555
190,EC3P 3,51.5222,-0.106331
191,EC3R 5,51.5103,-0.0826339
192,EC3R 6,51.5112,-0.0881697
193,EC3R 7,51.5108,-0.0811349
194,EC3R 8,51.5124,-0.0893619
195,EC3V 0,51.5124,-0.0856258
196,EC3V 1,51.5128,-0.0840816
197,EC3V 3,51.5135,-0.0867496
198,EC3V 4,51.5139,-0.0843993
199,EC3V 9,51.5139,-0.0900831
200,EC4A 1,51.5165,-0.110199
201,EC4A 2,51.5145,-0.108871
202,EC4A 3,51.5158,-0.10818
203,EC4A 4,51.5169,-0.106347
204,EC4M 4,51.5153,-0.10339
205,EC4M 5,51.5135,-0.0961667
206,EC4M 6,51.5143,-0.0984154
207,EC4M 7,51.5156,-0.103217
208,EC4M 8,51.5144,-0.100764
209,EC4M 9,51.5139,-0.0956393
210,EC4N 1,51.5149,-0.0963715
211,EC4N 4,51.5134,-0.0940557
212,EC4N 5,51.5137,-0.0937351
213,EC4N 6,51.5122,-0.092393
214,EC4N 7,51.5129,-0.0906593
215,EC4N 8,51.5137,-0.0932921
216,EC4P 4,51.5225,-0.110107
217,EC4R 0,51.5117,-0.0908599
218,EC4R 1,51.5117,-0.0942963
219,EC4R 2,51.5117,-0.0928555
220,EC4R 3,51.5119,-0.0933824
221,EC4R 9,51.5107,-0.0890924
222,EC4V 2,51.5125,-0.0958629
223,EC4V 3,51.5115,-0.0975376
224,EC4V 4,51.5121,-0.0997888
225,EC4V 5,51.5133,-0.101644
226,EC4V 6,51.5141,-0.104913
227,EC4Y 0,51.5127,-0.108039
228,EC4Y 1,51.5145,-0.108914
229,EC4Y 7,51.5134,-0.110006
230,EC4Y 8,51.5143,-0.107823
231,EC4Y 9,51.5121,-0.111733
232,EC50 0,51.5245,-0.112088
233,EC50 1,51.5245,-0.112088
234,EC50 3,51.5245,-0.112088
235,EC50 4,51.5245,-0.112088
236,EC50 5,51.5245,-0.112088
237,EC50 6,51.5245,-0.112088
238,EC50 9,51.5245,-0.112088
239,EC88 1,51.5266,-0.0809929
240,EC88 2,51.508,-0.0643935
241,EC88 3,51.508,-0.0643935
242,EC88 4,51.508,-0.0643935
243,EC88 5,51.508,-0.0643935
244,EC88 6,51.508,-0.0643935
245,EC88 7,51.508,-0.0643935
246,EC88 8,51.508,-0.0643935
247,EC88 9,51.508,-0.0643935
248,N1 0,51.5374,-0.111697
249,N1 1,51.5407,-0.106609
250,N1 2,51.5423,-0.0977898
251,N1 3,51.5411,-0.0917438
252,N1 4,51.5443,-0.0856774
253,N1 5,51.5369,-0.0850416
254,N1 6,51.5311,-0.0869201
255,N1 7,51.5336,-0.0942756
256,N1 8,51.536,-0.100034
257,N1 9,51.5339,-0.11323
258,N1C 4,51.5362,-0.125608
259,N1P 1,51.539,-0.103428
260,N1P 2,51.539,-0.103414
261,N2 0,51.5877,-0.171694
262,N2 2,51.5907,-0.167591
263,N2 8,51.593,-0.170239
264,N2 9,51.5917,-0.163057
265,N3 1,51.6031,-0.19528
266,N3 2,51.6013,-0.188646
267,N3 3,51.5961,-0.198458
268,N3 9,51.6014,-0.195029
269,N4 1,51.5767,-0.0968022
270,N4 2,51.568,-0.0970794
271,N4 3,51.5686,-0.109812
272,N4 4,51.5741,-0.108989
273,N4 9,51.5647,-0.122972
274,N5 1,51.5537,-0.101792
275,N5 2,51.5539,-0.0952724
276,N5 9,51.5538,-0.0989843
277,N6 4,51.5747,-0.147546
278,N6 5,51.5722,-0.135568
279,N6 6,51.566,-0.145125
280,N6 9,51.566,-0.12191
281,N7 0,51.5545,-0.124874
282,N7 1,51.5661,-0.121771
283,N7 6,51.5573,-0.11751
284,N7 7,51.5579,-0.112129
285,N7 8,51.5489,-0.113083
286,N7 9,51.5492,-0.120737
287,N8 0,51.5858,-0.109725
288,N8 1,51.5582,-0.158593
289,N8 7,51.5859,-0.121053
290,N8 8,51.5815,-0.124792
291,N8 9,51.5802,-0.118301
292,N9 0,51.6241,-0.054446
293,N9 1,51.6253,-0.0633835
294,N9 7,51.632,-0.0583521
295,N9 8,51.632,-0.0496587
296,N9 9,51.6261,-0.0683676
297,N10 1,51.5965,-0.147573
298,N10 2,51.5973,-0.142672
299,N10 3,51.5893,-0.143571
300,N10 9,51.5922,-0.142849
301,N11 1,51.6186,-0.140942
302,N11 2,51.6099,-0.128891
303,N11 3,51.6136,-0.147519
304,N11 9,51.6128,-0.128521
305,N12 0,51.6106,-0.173939
306,N12 2,51.6169,-0.180712
307,N12 7,51.6173,-0.188402
308,N12 8,51.6166,-0.180763
309,N12 9,51.6166,-0.173453
310,N13 4,51.6214,-0.109206
311,N13 5,51.6222,-0.0990988
312,N13 6,51.6157,-0.1012
313,N13 9,51.6329,-0.0994924
314,N14 4,51.6402,-0.131998
315,N14 5,51.6332,-0.134643
316,N14 6,51.6315,-0.124983
317,N14 7,51.6249,-0.128152
318,N14 9,51.6306,-0.128298
319,N15 3,51.5836,-0.0969575
320,N15 4,51.5835,-0.0784033
321,N15 5,51.5814,-0.0846632
322,N15 6,51.577,-0.0799268
323,N15 9,51.5666,-0.118485
324,N16 0,51.5638,-0.0794429
325,N16 1,51.5701,-0.077171
326,N16 5,51.5699,-0.0788425
327,N16 6,51.5699,-0.0702295
328,N16 7,51.5614,-0.0718318
329,N16 8,51.5569,-0.0786456
330,N16 9,51.5589,-0.0847672
331,N17 0,51.6022,-0.0618006
332,N17 1,51.5939,-0.0716037
333,N17 6,51.5936,-0.0767937
334,N17 7,51.6007,-0.0840376
335,N17 8,51.6029,-0.0732134
336,N17 9,51.5928,-0.0638428
337,N18 1,51.6139,-0.0769952
338,N18 2,51.6137,-0.0605532
339,N18 3,51.6131,-0.0447655
340,N18 9,51.6134,-0.0639496
341,N19 3,51.5686,-0.127222
342,N19 4,51.5647,-0.12408
343,N19 5,51.5626,-0.134389
344,N19 9,51.566,-0.121798
345,N20 0,51.627,-0.167453
346,N20 2,51.6298,-0.173671
347,N20 8,51.6303,-0.189375
348,N20 9,51.6328,-0.173548
349,N21 1,51.6396,-0.106274
350,N21 2,51.6361,-0.0925905
351,N21 3,51.6308,-0.0987725
352,N21 9,51.6329,-0.099519
353,N22 4,51.6023,-0.119
354,N22 5,51.6009,-0.105846
355,N22 6,51.5955,-0.107096
356,N22 7,51.599,-0.12339
357,N22 8,51.6031,-0.116498
358,N22 9,51.5986,-0.119539
359,N81 1,51.5798,-0.0971109
360,NW1 0,51.537,-0.136523
361,NW1 1,51.5314,-0.133876
362,NW1 2,51.5288,-0.133043
363,NW1 3,51.5271,-0.140775
364,NW1 4,51.53,-0.140179
365,NW1 5,51.5215,-0.159998
366,NW1 6,51.5245,-0.159243
367,NW1 7,51.5359,-0.142993
368,NW1 8,51.5409,-0.14769
369,NW1 9,51.5417,-0.134721
370,NW1W 7,51.5308,-0.13543
371,NW1W 8,51.5308,-0.13543
372,NW1W 9,51.5308,-0.13543
373,NW2 1,51.5656,-0.214466
374,NW2 2,51.5617,-0.204176
375,NW2 3,51.5552,-0.211004
376,NW2 4,51.5535,-0.216822
377,NW2 5,51.5506,-0.226029
378,NW2 6,51.5604,-0.222902
379,NW2 7,51.5646,-0.235179
380,NW2 9,51.5622,-0.213379
381,NW3 1,51.5568,-0.174827
382,NW3 2,51.5527,-0.16362
383,NW3 3,51.5458,-0.167485
384,NW3 4,51.5494,-0.167958
385,NW3 5,51.5503,-0.175146
386,NW3 6,51.5528,-0.179362
387,NW3 7,51.5587,-0.185539
388,NW3 9,51.5543,-0.173864
389,NW4 1,51.5929,-0.219426
390,NW4 2,51.5859,-0.218521
391,NW4 3,51.5817,-0.227888
392,NW4 4,51.5892,-0.228801
393,NW4 9,51.5881,-0.222723
394,NW5 1,51.5558,-0.144385
395,NW5 2,51.5504,-0.138864
396,NW5 3,51.5482,-0.146726
397,NW5 4,51.5506,-0.150715
398,NW5 9,51.5509,-0.145056
399,NW6 1,51.5478,-0.194423
400,NW6 2,51.5436,-0.19606
401,NW6 3,51.5423,-0.187593
402,NW6 4,51.5402,-0.189796
403,NW6 5,51.5343,-0.194235
404,NW6 6,51.5365,-0.202104
405,NW6 7,51.5411,-0.203957
406,NW6 9,51.536,-0.194738
407,NW7 0,51.6155,-0.241161
408,NW7 1,51.6115,-0.215743
409,NW7 2,51.6109,-0.236674
410,NW7 3,51.6177,-0.251012
411,NW7 4,51.6205,-0.24223
412,NW8 0,51.5356,-0.179572
413,NW8 1,51.5315,-0.178611
414,NW8 6,51.5357,-0.171965
415,NW8 7,51.5322,-0.168232
416,NW8 8,51.5261,-0.171647
417,NW8 9,51.5312,-0.17682
418,NW9 0,51.5879,-0.259781
419,NW9 1,51.5827,-0.246594
420,NW9 4,51.5981,-0.246238
421,NW9 5,51.5989,-0.247646
422,NW9 6,51.5868,-0.248379
423,NW9 7,51.5781,-0.246779
424,NW9 8,51.5763,-0.260688
